Frequency (Hz),Fourier Amplitude (g-sec)
1.843261719,0.05336271
1.849365234,0.052635441
1.85546875,0.051446982
1.861572266,0.050482502
1.867675781,0.049889165
1.873779297,0.048732213
1.879882813,0.045883676
1.885986328,0.041182919
1.892089844,0.035899261
1.898193359,0.032221091
1.904296875,0.031481858
1.910400391,0.032650034
1.916503906,0.033646329
1.922607422,0.033146534
1.928710938,0.030777393
1.934814453,0.026691829
1.940917969,0.021331407
1.947021484,0.015441572
1.953125,0.010079853
1.959228516,0.006434211
1.965332031,0.005478954
1.971435547,0.007224655
1.977539063,0.010675914
1.983642578,0.014547989
1.989746094,0.017588019
1.995849609,0.01904189
2.001953125,0.018905277
2.008056641,0.017754041
2.014160156,0.016333841
2.020263672,0.015220867
2.026367188,0.014487847
2.032470703,0.013304239
2.038574219,0.010226452
2.044677734,0.00467928
2.05078125,0.007205541
2.056884766,0.018382871
2.062988281,0.030265668
2.069091797,0.041210994
2.075195313,0.050938158
2.081298828,0.059810412
2.087402344,0.067539568
2.093505859,0.072770052
2.099609375,0.074274426
2.105712891,0.072497633
2.111816406,0.069794683
2.117919922,0.068691865
2.124023438,0.069893775
2.130126953,0.072974377
2.136230469,0.0780877
2.142333984,0.085010387
2.1484375,0.091468266
2.154541016,0.094572227
2.160644531,0.094094837
2.166748047,0.093839697
2.172851563,0.098168704
2.178955078,0.106130767
2.185058594,0.11231025
2.191162109,0.112892614
2.197265625,0.108731473
2.203369141,0.103849783
2.209472656,0.101027671
2.215576172,0.099115376
2.221679688,0.095809274
2.227783203,0.091514352
2.233886719,0.089050426
2.239990234,0.089793375
2.24609375,0.091725305
2.252197266,0.092217381
2.258300781,0.090834655
2.264404297,0.089029776
2.270507813,0.088141882
2.276611328,0.088220539
2.282714844,0.088563644
2.288818359,0.088549682
2.294921875,0.0877791
2.301025391,0.086089593
2.307128906,0.083794163
2.313232422,0.081591761
2.319335938,0.079909567
2.325439453,0.078497189
2.331542969,0.076933503
