Frequency (Hz),Fourier Amplitude (g-sec)
2.490234375,0.150339909
2.496337891,0.140800621
2.502441406,0.130928031
2.508544922,0.127409556
2.514648438,0.131402787
2.520751953,0.136967551
2.526855469,0.137985837
2.532958984,0.133207107
2.5390625,0.126173776
2.545166016,0.121954964
2.551269531,0.12289706
2.557373047,0.127626032
2.563476563,0.134154707
2.569580078,0.141982527
2.575683594,0.151048875
2.581787109,0.160260291
2.587890625,0.16802843
2.593994141,0.174022346
2.600097656,0.179898942
2.606201172,0.188085728
2.612304688,0.19983016
2.618408203,0.214549728
2.624511719,0.230565811
2.630615234,0.245619881
2.63671875,0.256848147
2.642822266,0.261303061
2.648925781,0.257410835
2.655029297,0.246397925
2.661132813,0.232368651
2.667236328,0.220385592
2.673339844,0.213432531
2.679443359,0.21090988
2.685546875,0.210229171
2.691650391,0.209384998
2.697753906,0.207968393
2.703857422,0.206486423
2.709960938,0.205045983
2.716064453,0.20257642
2.722167969,0.197416449
2.728271484,0.188906617
2.734375,0.178436781
2.740478516,0.168481702
2.746582031,0.160036881
2.752685547,0.151518219
2.758789063,0.141190726
2.764892578,0.130441555
2.770996094,0.123759441
2.777099609,0.124331127
2.783203125,0.13053582
2.789306641,0.13887227
2.795410156,0.147702597
2.801513672,0.156485667
2.807617188,0.163563827
2.813720703,0.16654274
2.819824219,0.164733477
2.825927734,0.160493437
2.83203125,0.157563933
2.838134766,0.157496065
2.844238281,0.158231662
2.850341797,0.15671575
2.856445313,0.152144774
2.862548828,0.146776666
2.868652344,0.143976808
2.874755859,0.144838275
2.880859375,0.14673413
2.886962891,0.145731175
2.893066406,0.140155549
2.899169922,0.132222754
2.905273438,0.126394171
2.911376953,0.124733029
2.917480469,0.124134805
2.923583984,0.119744798
2.9296875,0.109904211
2.935791016,0.097780181
2.941894531,0.089212457
2.947998047,0.08734435
2.954101563,0.089436563
2.960205078,0.091046268
2.966308594,0.090612908
2.972412109,0.089878309
2.978515625,0.091878367
2.984619141,0.097910523
2.990722656,0.106006931
2.996826172,0.112736396
3.002929688,0.115954648
3.009033203,0.11594429
3.015136719,0.114412854
3.021240234,0.112333314
3.02734375,0.109081576
3.033447266,0.104075854
3.039550781,0.098607752
3.045654297,0.095032239
3.051757813,0.093882928
3.057861328,0.093270824
3.063964844,0.091935566
3.070068359,0.091441649
3.076171875,0.094485021
3.082275391,0.101504998
3.088378906,0.110469705
3.094482422,0.119282442
3.100585938,0.12664367
3.106689453,0.131341071
3.112792969,0.132157302
3.118896484,0.128789262
3.125,0.122329258
3.131103516,0.114281932
3.137207031,0.10506509
3.143310547,0.094083657
3.149414063,0.081615281
3.155517578,0.070163062
3.161621094,0.062887206
3.167724609,0.059723466
3.173828125,0.057101432
3.179931641,0.052259403
3.186035156,0.045487953
3.192138672,0.039244332
3.198242188,0.036385899
3.204345703,0.038364126
3.210449219,0.044056572
3.216552734,0.050639808
3.22265625,0.055468245
3.228759766,0.057489505
3.234863281,0.057760314
3.240966797,0.058481943
3.247070313,0.060821076
3.253173828,0.063925565
3.259277344,0.066319296
3.265380859,0.067242927
3.271484375,0.066478595
3.277587891,0.063669309
3.283691406,0.058362427
3.289794922,0.050847178
3.295898438,0.043161141
3.302001953,0.039442028
3.308105469,0.042948194
3.314208984,0.051569178
3.3203125,0.060893387
3.326416016,0.06812555
3.332519531,0.07243422
3.338623047,0.074224788
3.344726563,0.074029908
3.350830078,0.071692263
3.356933594,0.066832113
3.363037109,0.060425983
3.369140625,0.055809339
3.375244141,0.056431826
3.381347656,0.061268772
3.387451172,0.065979871
3.393554688,0.067848211
3.399658203,0.067342829
3.405761719,0.066535174
3.411865234,0.066351117
3.41796875,0.06556148
3.424072266,0.062664133
3.430175781,0.057933566
3.436279297,0.053438305
3.442382813,0.051021279
3.448486328,0.050263437
3.454589844,0.049239944
3.460693359,0.046682496
3.466796875,0.042648709
3.472900391,0.037871484
3.479003906,0.033083392
3.485107422,0.02893153
3.491210938,0.026056292
3.497314453,0.02467816
3.503417969,0.024323848
3.509521484,0.024588492
3.515625,0.025715019
3.521728516,0.027747953
3.527832031,0.029567116
3.533935547,0.029427293
3.540039063,0.026153434
3.546142578,0.02000945
3.552246094,0.013963708
3.558349609,0.015120011
3.564453125,0.022843539
3.570556641,0.030610686
3.576660156,0.035654891
3.582763672,0.037254036
3.588867188,0.036025494
3.594970703,0.033813889
3.601074219,0.03315005
3.607177734,0.035530398
3.61328125,0.040238545
3.619384766,0.04579295
3.625488281,0.051324051
3.631591797,0.056244296
3.637695313,0.059487427
3.643798828,0.05965363
3.649902344,0.056222139
3.656005859,0.05102981
3.662109375,0.048424545
3.668212891,0.05133042
3.674316406,0.057040216
3.680419922,0.06115319
3.686523438,0.062416468
3.692626953,0.062990797
3.698730469,0.065330162
3.704833984,0.068699629
3.7109375,0.0700819
3.717041016,0.067759676
3.723144531,0.063035069
3.729248047,0.059268865
3.735351563,0.059099629
3.741455078,0.062626762
3.747558594,0.068762782
3.753662109,0.07648236
3.759765625,0.084204081
3.765869141,0.089655647
3.771972656,0.090947636
3.778076172,0.087517774
3.784179688,0.080118029
3.790283203,0.070163967
3.796386719,0.059329066
3.802490234,0.049894354
3.80859375,0.044888362
3.814697266,0.045798527
3.820800781,0.05035279
3.826904297,0.055380425
3.833007813,0.059497297
3.839111328,0.062558677
3.845214844,0.064266142
3.851318359,0.063767707
3.857421875,0.060373487
3.863525391,0.05432675
3.869628906,0.046894943
3.875732422,0.039865028
3.881835938,0.034817857
3.887939453,0.032364709
3.894042969,0.031701327
3.900146484,0.031224408
3.90625,0.029847269
3.912353516,0.0279407
3.918457031,0.027242031
3.924560547,0.029007157
3.930664063,0.032182354
3.936767578,0.034722367
3.942871094,0.035546527
3.948974609,0.035018714
3.955078125,0.034510933
3.961181641,0.035331105
3.967285156,0.037560944
3.973388672,0.040135636
3.979492188,0.042020534
3.985595703,0.043026116
3.991699219,0.043667121
3.997802734,0.044315027
4.00390625,0.044594561
4.010009766,0.043894768
4.016113281,0.042440371
4.022216797,0.04158821
4.028320313,0.042608164
4.034423828,0.045137909
4.040527344,0.047603213
4.046630859,0.048735016
4.052734375,0.048090199
4.058837891,0.045684639
4.064941406,0.041719002
4.071044922,0.036767656
4.077148438,0.031896681
4.083251953,0.028040409
4.089355469,0.025242085
4.095458984,0.023446391
4.1015625,0.023841825
4.107666016,0.027164118
4.113769531,0.031421143
4.119873047,0.034036402
4.125976563,0.0343557
4.132080078,0.033906949
4.138183594,0.034427297
4.144287109,0.03549986
4.150390625,0.0357013
4.156494141,0.03557381
4.162597656,0.037588516
4.168701172,0.042224412
4.174804688,0.046675138
4.180908203,0.048611393
4.187011719,0.048768777
4.193115234,0.049945793
4.19921875,0.053102914
4.205322266,0.055697743
4.211425781,0.054953584
4.217529297,0.050945772
4.223632813,0.046815635
4.229736328,0.045837647
4.235839844,0.047418543
4.241943359,0.048305308
4.248046875,0.046662522
4.254150391,0.043249042
4.260253906,0.040485226
4.266357422,0.040707952
4.272460938,0.04427938
4.278564453,0.049473165
4.284667969,0.054149465
4.290771484,0.057103771
4.296875,0.058462085
4.302978516,0.059065398
4.309082031,0.059176965
4.315185547,0.057921042
4.321289063,0.054268612
4.327392578,0.048382231
4.333496094,0.041891334
4.339599609,0.036708008
4.345703125,0.033268307
4.351806641,0.030480041
4.357910156,0.027458787
4.364013672,0.024231851
4.370117188,0.021078887
4.376220703,0.018543165
4.382324219,0.018499031
4.388427734,0.02252808
4.39453125,0.028872924
4.400634766,0.034926325
4.406738281,0.039511526
4.412841797,0.042787486
4.418945313,0.045253009
4.425048828,0.046874617
4.431152344,0.047256017
4.437255859,0.046485716
4.443359375,0.045476606
4.449462891,0.045275635
4.455566406,0.046103561
4.461669922,0.047393772
4.467773438,0.048592137
4.473876953,0.049470284
4.479980469,0.049824436
4.486083984,0.049315166
4.4921875,0.047771676
4.498291016,0.04555548
4.504394531,0.043499143
4.510498047,0.042335484
4.516601563,0.042071109
4.522705078,0.042010152
4.528808594,0.041459204
4.534912109,0.040417986
4.541015625,0.039658931
4.547119141,0.039953338
4.553222656,0.04107759
4.559326172,0.041976243
4.565429688,0.041940022
4.571533203,0.041278412
4.577636719,0.040781228
4.583740234,0.040634833
4.58984375,0.040323146
4.595947266,0.039747004
4.602050781,0.039858143
4.608154297,0.041605623
4.614257813,0.044517504
4.620361328,0.047255117
4.626464844,0.049143239
4.632568359,0.050451358
4.638671875,0.051426466
4.644775391,0.051652479
4.650878906,0.050777969
4.656982422,0.049598507
4.663085938,0.049699869
4.669189453,0.051466056
4.675292969,0.053230821
4.681396484,0.053090254
4.6875,0.050764549
4.693603516,0.047655721
4.699707031,0.045268692
4.705810547,0.043574318
4.711914063,0.041508068
4.718017578,0.038832035
4.724121094,0.036703024
4.730224609,0.03625839
4.736328125,0.037123997
4.742431641,0.038150619
4.748535156,0.038869068
4.754638672,0.039463298
4.760742188,0.039898626
4.766845703,0.039731868
4.772949219,0.038753917
4.779052734,0.037366799
4.78515625,0.036120599
4.791259766,0.035050149
4.797363281,0.033780135
4.803466797,0.032175815
4.809570313,0.030512157
4.815673828,0.028977636
4.821777344,0.027361658
4.827880859,0.025483095
4.833984375,0.023687561
4.840087891,0.022529751
4.846191406,0.021907369
4.852294922,0.021005716
4.858398438,0.0192201
4.864501953,0.016763836
4.870605469,0.014425564
4.876708984,0.01274753
4.8828125,0.011484682
4.888916016,0.010158119
4.895019531,0.008798758
4.901123047,0.007833288
4.907226563,0.007415363
4.913330078,0.00731401
4.919433594,0.007540245
4.925537109,0.008369048
4.931640625,0.009640593
4.937744141,0.010686554
4.943847656,0.010864276
4.949951172,0.009882266
4.956054688,0.007920945
4.962158203,0.005852854
4.968261719,0.005507799
4.974365234,0.007275454
4.98046875,0.009245578
4.986572266,0.010239039
4.992675781,0.009971526
4.998779297,0.008894013
5.004882813,0.008252303
5.010986328,0.009307985
5.017089844,0.011640365
5.023193359,0.013956216
5.029296875,0.015392337
5.035400391,0.015641671
5.041503906,0.014878747
5.047607422,0.013648206
5.053710938,0.012552388
5.059814453,0.011745132
5.065917969,0.010790883
5.072021484,0.009236176
5.078125,0.007353266
5.084228516,0.006633007
5.090332031,0.008209299
5.096435547,0.010672318
5.102539063,0.012597921
5.108642578,0.013545334
5.114746094,0.013725079
5.120849609,0.013667873
5.126953125,0.013925148
5.133056641,0.01488325
5.139160156,0.016669188
5.145263672,0.019068957
5.151367188,0.02158107
5.157470703,0.023657028
5.163574219,0.024941681
5.169677734,0.025345613
5.17578125,0.024944757
5.181884766,0.023851059
5.187988281,0.022212066
5.194091797,0.020309775
5.200195313,0.018526268
5.206298828,0.017039465
5.212402344,0.015576914
5.218505859,0.013700815
5.224609375,0.011430623
5.230712891,0.009665
5.236816406,0.009654749
5.242919922,0.011137302
5.249023438,0.012693755
5.255126953,0.013499749
5.261230469,0.013537834
5.267333984,0.013275641
5.2734375,0.013275361
5.279541016,0.013781049
5.285644531,0.014573617
5.291748047,0.015252337
5.297851563,0.015598908
5.303955078,0.015702215
5.310058594,0.015764917
5.316162109,0.015747241
5.322265625,0.015268387
5.328369141,0.0139338
5.334472656,0.011747878
5.340576172,0.009308079
5.346679688,0.007635848
5.352783203,0.00726963
5.358886719,0.007532673
5.364990234,0.007727217
5.37109375,0.007901622
5.377197266,0.008326527
5.383300781,0.008934056
5.389404297,0.009505506
5.395507813,0.010104834
5.401611328,0.011008821
5.407714844,0.012241823
5.413818359,0.013427089
5.419921875,0.014130818
5.426025391,0.014187305
5.432128906,0.013759897
5.438232422,0.013190149
5.444335938,0.012744599
5.450439453,0.012433222
5.456542969,0.012061393
5.462646484,0.011456914
5.46875,0.010678923
5.474853516,0.010068184
5.480957031,0.009995132
5.487060547,0.010402222
5.493164063,0.010778766
5.499267578,0.010627582
5.505371094,0.009790448
5.511474609,0.008472159
5.517578125,0.007099227
5.523681641,0.006126534
5.529785156,0.005858004
5.535888672,0.006292414
5.541992188,0.007100587
5.548095703,0.007818406
5.554199219,0.008089542
5.560302734,0.007841981
5.56640625,0.007347158
5.572509766,0.007052359
5.578613281,0.00715239
5.584716797,0.007378611
5.590820313,0.007345711
5.596923828,0.00689158
5.603027344,0.006138854
5.609130859,0.00545002
5.615234375,0.005286097
5.621337891,0.005803369
5.627441406,0.00667818
5.633544922,0.007540161
5.639648438,0.0082829
5.645751953,0.009043005
5.651855469,0.00998515
5.657958984,0.011080846
5.6640625,0.012116741
5.670166016,0.012884929
5.676269531,0.013337253
5.682373047,0.013613496
5.688476563,0.013949835
5.694580078,0.014504211
5.700683594,0.015211684
5.706787109,0.015809936
5.712890625,0.016018744
5.718994141,0.015724314
5.725097656,0.015052811
5.731201172,0.014291433
5.737304688,0.013698268
5.743408203,0.013360475
5.749511719,0.013244486
5.755615234,0.0133276
5.76171875,0.013599581
5.767822266,0.013959426
5.773925781,0.01419138
5.780029297,0.014057101
5.786132813,0.013390441
5.792236328,0.012138178
5.798339844,0.010377997
5.804443359,0.008335744
5.810546875,0.006373766
5.816650391,0.004916026
5.822753906,0.004330824
5.828857422,0.004808659
5.834960938,0.006224212
5.841064453,0.008153966
5.847167969,0.010077734
5.853271484,0.011594396
5.859375,0.012570755
5.865478516,0.013130873
5.871582031,0.01345255
5.877685547,0.01353346
5.883789063,0.01318407
5.889892578,0.01224046
5.895996094,0.010739918
5.902099609,0.00890377
5.908203125,0.006973421
5.914306641,0.005061903
5.920410156,0.003175809
5.926513672,0.001401253
5.932617188,0.000769651
5.938720703,0.001804252
5.944824219,0.002533395
5.950927734,0.002897459
5.95703125,0.00312062
5.963134766,0.003316999
5.969238281,0.003376477
5.975341797,0.003221286
5.981445313,0.003096486
5.987548828,0.003443828
5.993652344,0.004219168
5.999755859,0.00492497
6.005859375,0.005176007
6.011962891,0.004860821
6.018066406,0.004103665
6.024169922,0.003173648
6.030273438,0.002386511
6.036376953,0.002025421
6.042480469,0.002179555
6.048583984,0.002639268
6.0546875,0.003130963
6.060791016,0.003457055
6.066894531,0.003517561
6.072998047,0.003312531
6.079101563,0.002898215
6.085205078,0.002314338
6.091308594,0.001586634
6.097412109,0.001081588
6.103515625,0.001805086
6.109619141,0.003144034
6.115722656,0.004409619
6.121826172,0.005277032
6.127929688,0.005608619
6.134033203,0.005484809
6.140136719,0.005168897
6.146240234,0.004919518
6.15234375,0.004760057
6.158447266,0.004527701
6.164550781,0.00415385
6.170654297,0.003782158
6.176757813,0.003580851
6.182861328,0.003478042
6.188964844,0.003267403
6.195068359,0.002933488
6.201171875,0.002756818
6.207275391,0.003003277
6.213378906,0.003518854
6.219482422,0.004009813
6.225585938,0.004371488
6.231689453,0.004692384
6.237792969,0.00516094
6.243896484,0.005934395
6.25,0.007029653
6.256103516,0.008339214
6.262207031,0.009721253
6.268310547,0.011039109
6.274414063,0.012134055
6.280517578,0.012814517
6.286621094,0.01293679
6.292724609,0.012549551
6.298828125,0.011967955
6.304931641,0.011603284
6.311035156,0.011570743
6.317138672,0.011557459
6.323242188,0.011198722
6.329345703,0.010455358
6.335449219,0.009616171
6.341552734,0.008983793
6.34765625,0.008597356
6.353759766,0.008376986
6.359863281,0.008401547
6.365966797,0.008762366
6.372070313,0.009242115
6.378173828,0.009466283
6.384277344,0.009337092
6.390380859,0.009205376
6.396484375,0.009551644
6.402587891,0.010429719
6.408691406,0.011486815
6.414794922,0.012441508
6.420898438,0.013229855
6.427001953,0.013814472
6.433105469,0.014059743
6.439208984,0.013864291
6.4453125,0.013368206
6.451416016,0.012944471
6.457519531,0.012877662
6.463623047,0.013059433
6.469726563,0.013142777
6.475830078,0.012923954
6.481933594,0.012480743
