Frequency (Hz),Fourier Amplitude (g-sec)
6.787109375,0.019100293
6.793212891,0.017635155
6.799316406,0.015506139
6.805419922,0.012810976
6.811523438,0.010318752
6.817626953,0.009185771
6.823730469,0.009776575
6.829833984,0.011118843
6.8359375,0.012260067
6.842041016,0.012793779
6.848144531,0.012601069
6.854248047,0.01167605
6.860351563,0.010131794
6.866455078,0.008254159
6.872558594,0.006446249
6.878662109,0.004988018
6.884765625,0.003799298
6.890869141,0.002647007
6.896972656,0.00175197
6.903076172,0.001994221
6.909179688,0.002917522
6.915283203,0.003725024
6.921386719,0.004318091
6.927490234,0.00477875
6.93359375,0.005081429
6.939697266,0.005118423
6.945800781,0.004859045
6.951904297,0.004377482
6.958007813,0.003786668
6.964111328,0.003358259
6.970214844,0.003699939
6.976318359,0.004948392
6.982421875,0.006417472
6.988525391,0.007490987
6.994628906,0.007985541
7.000732422,0.008185848
7.006835938,0.00858952
7.012939453,0.009378113
7.019042969,0.010259097
7.025146484,0.010868459
7.03125,0.011073717
7.037353516,0.010978626
7.043457031,0.0108155
7.049560547,0.010815197
7.055664063,0.01104291
7.061767578,0.011304825
7.067871094,0.011284389
7.073974609,0.010794796
7.080078125,0.00989564
7.086181641,0.008770918
7.092285156,0.00748936
